Movie_ID,Title,Director,Cast,Year,Genre
1917,Achena,Shibli Sadik,"Alamgir, Shabana, Ilias Kanchan, Champa, Ali Raz, Aruna Biswas",1991,Drama
1918,Chadni,Ehtesham,"Shabnaz, Nayeem, Sadek Bachchu",1991,Romance
1919,Danga,Kazi Hayat,"Manna, Suchorita, Rajeeb, Miju Ahmed, Dildar",1991,Action
1920,Kashem Malar Prem,Mostafa Anwar,"Manna, Champa, Anwar Hossain, Sawkat Akbar, Prabir Mitra, Nasir Khan, Dildar",1991,Romance
1921,Padma Meghna Jamuna,Chashi Nazrul Islam,"Faruq, Bobita, Champa, Ali Raz, Ahmed Sharif, Shawkat Akbar, ATM Shamsuzzaman",1991,Drama
1922,Pita Mata Santan,A J Mintu,"Alamgir, Shabana, Asad, Imran, Anwar Hossain, Golam Mustafa, Dildar",1991,Drama
1923,Strir Paona,Sheikh Nazrul Islam,"Alamgir, Shabana, Ilias Kanchan, Diti, Nutan, Rajeeb, Rowshan Jamil",1991,"Drama, Romance"
1924,Shantona,Kazi Morshed,"Shabana, Alamgir, Anwar Hossain, Golam Mustafa,",1991,Drama
