Movie_ID,Title,Director,Cast,Year,Genre
1917,Hothat Brishti,Basu Chatterjee,"Ferdous, Priyanka Trivedi, Manoj Mitra, Raisul Islam Asad, Sreelekha Mitra, June Malia, Amol Bose",1998,Romance
1918,Vondo,Shahidul Islam Khokon,"Rube, Tamanna, Humayun Faridi, Rajeeb, Khalil, ATM Shamsuzzaman",1998,"Action, Comedy"
1919,Shanto Keno Mastan,Montazur Rahman Akbar,"Manna, Shahnaz, Razzak, Dipjol, Humayun Faridi, Dildar",1998,Action
1920,Teji,Kazi Hayat,"Manna, Eka, Dildar, Abul Hayat, Dipjol",1998,"Action, Romance"
1921,Moner Moto Mon,Montazur Rahman Akbar,"Amin Khan, Mohini, Victor Banerjee, Uttam Mohanty, Aparajita Mohanty,",1998,Romance
1922,Bhalobashi Tomake,Mohammad Hannan,"Riaz, Shabnur, Bobita, ATM Shamsuzzaman, Dildar, Rajeeb, Humayun Faridi",1998,Romance
1923,Bidroho Charidike - The Forces,Mohammad Hannan,"Riaz, Popy, Humayun Faridi, Nasima Khan, Miju Ahmed, Anwar Hossain, Rajeeb",1998,Action
1924,Buk Bhora Bhalobasha,Chotku Ahmed,"Riaz, Shabnur, Abul Hayat, Dolly Zahur, Bapparaj",1998,Romance
1925,Prithibi Tomar Amar,Badal Khandokar,"Riaz, Shabnur, Razzak, Bobita, ATM Shamsuzzaman",1998,"Drama, Romance"
1926,Kajer Meye,Azadi Hasnat Firoz,"Riaz, Shabnur, Ali Raz, Amol Bose, Sharmili Ahmed",1998,Drama
