Movie_ID,Title,Director,Cast,Year,Genre
2719,Jagat Songshar,Raihan Mujib[1],"Manna, Popy, Dighi, Omar Sani, Mukti",2019,
2722,Shramik Neta,Kazi Hayat,,2019,
2723,Bhul Shob E Bhul,Mayeen Biswas,,2019,
2724,Vondo Nayok,Shahadat Hossain Liton,"Alexandar Bo, Sahara, Amit Hasa, Misha Sawdagor",2019,Action
2725,Abhishapto Raat,,Sahara,2019,
2726,Jibon Niye Juddho,Niranjan Biswas,"Manna, Shabnur, Omar Sani",2019,
2727,Rupantor - Transformation,Abu Sayeed,"Ferdous Ahmed, Sakiba, Shatabdi Wadud, Jayanto Chattopadhyay",2019,
2728,Tumi Amar Swami,Montazur Rahman Akbar,"Riaz, Shabnur",2019,
2729,Miah Barir Chakor,Shahadat Hossain Liton,"Shakib Khan, Apu Biswas",2019,
2730,Monpura,Giasuddin Selim,"Chanchal Chowdhury, Farhana Mili, Monir Khan Shimul, Fazlur Rahman Babu, Mamunur Rashid",2019,"Romance, Drama"
2731,Boner Jonno Juddho,Swapan Chowdhury,"Amin Khan, Nipun Akter",2019,
2732,Aain Er Haate Greftar,,,2019,
2733,Bondhu Maya Lagaiche,Abu Sufiyan,"Saif Khan, Nipun Akter",2019,
2734,Hridoy Theke Pawa ,Mohammad Hossain Jamie,"Manna, Moushumi, Champa",2019,
2735,Moynamotir Songshar,Ali Azad,"Ferdous Ahmed, Moushumi, Jhumur",2019,
2736,Jonmo Tomar Jonno,Shahin Sumon,"Shakib Khan, Apu Biswas, Rahul, Priya, Rehana Jolly",2019,"Action, Romance"
2737,Mon Boshena Porar Table E,Abdul Mannan,"Riaz, Shabnur, ATM Shamsuzzaman, Dolly Jahur",2019,"Comedy, Romance"
2738,Footpath Er Shahenshah,,,2019,
2739,Chander Moto Bou,Mohammad Hossain,"Riaz, Shabnur, Nipun",2019,Romance
2740,Shuvo Bibahao,Debashish Biswas,"Riaz, Apu Biswas, Nipun",2019,"Romance, Comedy"
2741,Gariber Chele Boroloker Meye,,"Kazi Maruf, Apu Biswas",2019,
2742,Return Ticket,Sohel Rana,"Rubel, Jona, Nipun Akter, Imtiaz, Shraboni, Sujata, Humayun Faridi, Sohel Rana, ATM Shasuzaman",2019,
2743,Bolbo Kotha Bashor Ghore,Shah Mohammad Shongram,"Shakib Khan, Shabnur, Sahara, Omar Sani, Kazi Hayat",2019,"Drama, Romance"
2744,Opare Akash,Shafiqul Islam Sohel,"Ferdous Ahmed, Popy, Moushumi, Sadia",2019,Romance
2745,Prithibi Takar Golam,Md. Jainal Abedin,"Amin Khan, Apu Biswas, Omar Sani, ATM Shamsuzzaman, Khaleda Akter Kolpona, Prabir Mitra",2019,"Action, Drama"
2746,Bodhu Tumi Kar,B. R. Chowdhury,"Riaz, Shabnur",2019,
2747,Biye Bari,Shahin Sumon,"Shakib Khan, Romana, Amit Hasan, Razzak, Bobita",2019,"Comedy, Drama, Romance"
2748,Thekao Andolon,Raju Chowdhury,"Amin Khan, Nipun Akter, Amit Hasan",2019,Action
2749,Prem Koyedi,M B Manik,"Shakib Khan, Sahara, Shahid Khan, Madhobi, Prabir Mitra",2019,"Action, Romance"
2750,Nil Achol,Bulbul Jilani,"Taufiq, Resi, Hira",2019,
2751,Ma Boro Na Bou Boro,Sheikh Nazrul Islam,"Amin Khan, Nipun Akter, Aliraj, Dolly Zahur",2019,
