Movie_ID,Title,Director,Cast,Year,Genre
1917,Shonkhonil Karagar,Mustafizur Rahman,"Zafar Iqbal, Champa, Suborna Mustafa, Momotaz Uddin Ahmed, Dolly Zahur, Abul Hayat, Asaduzzaman Noor",1992,Drama
1918,Andho Biswas,Motin Rahman,"Alamgir, Shabana, Nutan, Razzak",1992,Drama
1919,Traash,Kazi Hayat,"Manna, Mizu Ahmed, Rajeeb",1992,Action
1920,Uchit Shikkha,Awkat Hossain,"Jasim, Ahmed Sharif, Ilias Javed, Bobita, Sunetra",1992,Drama
1921,Radha Krishna,Motin Rahman,"Ilias Kanchan, Rozina, Anwara",1992,Romance
1922,Khoma Nai,Abul Khair Bulbul,"Ilias Kanchan, Rubel, Parveen Sultana Diti, Shilpi, A.T.M. Samsuzzaman, ​Khalilullah, Anowar Hossain, Khaleda Akter Kolpona, Mina Hayder, Alpona, Sathi, Nadir Khan, Amir Siraji, Dildar",1992,Drama
1925,Anjoli,Darashiko,Shabnaz,1992,Romance
1926,Beporoa,Kobir Anwar,Ilias Kanchan,1992,Action
