Movie_ID,Title,Director,Cast,Year,Genre
2719,I am Raaz,M Azad,"Raaz Ibrahim, Sabrina Mamia, Sadek Bachchu, Amir Siraji",2019,Action
2720,Amar Prem Amar Priya,Shamimul Islam Shamim,"Kayes Arju, Pori Moni",2019,Romance
2721,Daag Hridoye,Tarek Shikder,"Bappy Chowdhury, Bidya Sinha Saha Mim, Achol",2019,Romance
2722,Fagun Haway,Tauquir Ahmed,"Nusrat Imrose Tisha, Siam Ahmed, Yashpal Sharma, Abul Hayat",2019,Historic
2723,Ratrir Jatri,Habibul Islam Habib,"Moushumi, Anisur Rahman Milon",2019,Drama
2724,Hrodoyer Rangdhanu,Rajibul Hossain,"Mina Petkovich, Muhtasin Sajal, Shams Kader",2019,Drama
2725,Prem Amar 2,Bidula Bhattacharya,"Puja Cherry, Adrit Roy, Sourav Das, Champa, Nader Chowdhury",2019,Romance
2726,Boyfriend,Uttam Akash,"Taskeen Rahman, Semanti Shoumi, Amit Hasan",2019,"Action, Romance"
2727,Jodi Ekdin,Mohammad Mostafa Kamal Raz,"Tahsan, Srabanti, Taskeen Rahman, Afrin Shikha Raisa",2019,Romance
2728,Bou Bazar,Mukul Netrabadi,"Shahriaz, Raaha Tanha Khan, Rehana Jolly",2019,"Romance, Comedy"
2729,Karon Tomay Bhalobashi,Golam Mostafa Shimul,"Sabbir Ahmed, Bithi Rani Sarker, Najifa Chowdhury",2019,Romance
2730,Live From Dhaka,Abdullah Mohammad Saad,"Mostafa Monowar, Tasnuva Tamanna",2019,Drama
2731,Protishoder Agun,Mohammad Aslam,"Zayed Khan, Mou Khan, Shahriaz, Naaz, Danny Sidak",2019,"Action, Romance"
2732,Alpha,Nasiruddin Yousuff,"ATM Shamsuzzaman, Alamgir Kabir, Doel",2019,Drama
2733,Abar Boshonto,Ananya Mamun,"Tariq Anam Khan, Orchita Sporshia",2019,Drama
2734,Aloy Vubon Bora,Amirul Islam,"Saif Khan, Mishti Maria, Aruna Biswas, Shahidul Alam Sachchu",2019,"Romance, Drama"
2735,The Director,"Kamruzzaman KamuMosharraf Karim, Popy, Marzuk Russell",Drama,2019,Drama
2736,Nolok,Sakib Sonet and his team,"Shakib Khan, Bobby, Tariq Anam Khan, Rajatava Dutta, Shahidul Alam Sachchu, Supriyo Dutta",2019,Romance
2737,Password,Malek Afsary,"Shakib Khan, Shabnom Bubly, Emon, Misha Sawdagor",2019,"Crime, Action"
2738,Bhalobashar Uttap,Shahidul Alam Sachchu,"Emon, Mishti Maria, Aruna Biswas, Abdullah Rana",2019,"Romance, Drama"
2739,Anuprobesh,Taposh Kumar Datta,"Anwar Sayem, Danjida Islam, Pijush Bandyopadhyay",2019,Sci-Fi
2740,Kalo Megher Vela,Mrittika Gun,"Arun, Runa Khan, Sumon Biswas",2019,Drama
2741,Goendagiri,Nasim Sahnic,"Kalyan Corraya, Tania Bristy, Shampa Hasnain",2019,Detective
2742,Akash Mohal,Delwar Jahan Jhantu,"Emon, Airin, Danny Sidak",2019,Fantasy
2743,Bhalobashar Rajkonna,Raju Alim,"Moushumi Hamid, Shipan Mitra, Abid Rehan",2019,Romance
2744,Bhalobashar Jala,Boshir Ahmed,"Shakil Khan, Arpa, Shabnam Parveen, Afzal Sharif",2019,Romance
2745,Moner Moto Manush Pailam Naa,Zakir Hossain Raju,"Shakib Khan, Shabnom Bubly, Misha Sawdagar",2019,"Action, Romance"
2746,Obotar,Mahmud Hasan Shikder,"Mahiya Mahi, JH Rusho, Amin Khan, Misha Sawdagor",2019,Action
2747,Mayaboti,Arun Chowdhury,"Nusrat Imrose Tisha, Yash Rohan, Fazlur Rahman Babu",2019,Drama
2748,Paglami,Komol Sarker,"Bappy Chowdhury, Shrabani Roy",2019,Romance
2749,Shapludu,Golam Sohrab Dodul,"Arifin Shuvo, Mim, Zahid Hasan, Tariq Anam Khan, Shatabdi Wadud",2019,Thriller
2750,Dongiri,Shah Alam Mondol,"Bappy Chowdhury, Amiya Amei, Anisur Rahman Milon, Misha Sawdagar",2019,"Action, Romance"
2751,Padmar Prem,Harunuzzaman,"Airin Sultana, Sumit Sengupta, Sadek Bacchu, Jayanta Chattopadhyay",2019,Drama
2752,Begum Jaan,Mohammad Aslam,"Emon, Shirin Shila, Aurin",2019,"Crime, Action"
2753,"Sincerely, Your Dhaka","Abdullah Al Nur, Golam Kibria Farooki, Tanim Noor, Krishnendu Chattopadhyay, Mahmdul Islam, Robiul Alam, Mir Mukarram Hossain, Nuhash Humayun, Rahat Rahman, Syed Ahmed Shawki, Syed Saleh Ahmed Subhan and Tanvir Ahsan","Nusrat Imrose Tisha, Shatabdi Wadud, Intekhab Dinar, Iresh Zaker, Orchita Sporshia, Manoj Kumar Pramanik, Mostafa Monowar, Allen Shuvro, Shahtaj Monira Hashem, Rawnak Hasan",2019,Drama
2754,No Dorai,Taneem Rahman Angshu,"Sariful Raaz, Sunerah Binte Kamal, Sayed Babu",2019,"Sports, Drama"
2755,Indubala,Joy Sarkar,"Anisur Rahman Milon, Payel, Fazlur Rahman Babu",2019,Drama
2756,Prem Chor,Uttam Akash,"Shanto Khan, Neha Amandeep",2019,Romance
2757,Garments Sromik Zindabad,Mustafizur Rahman Babu,"Kazi Maruf, Aurin, Rubel, Amit Hasan",2019,Action
2758,Farayezi Andolan 1842,Dayel Rahman,"Amin Khan, Nawsheen",2019,"History, Drama"
2759,Gohiner Gaan,Sadat Hossain,"Asif Akbar, Toma Mirza, Tanzika Amin, Syed Hasan Imam",2019,musical
