Movie_ID,Title,Director,Cast,Year,Genre
1917,Lalsalu,Tanvir Mokammel,"Raisul Islam Asad, Tauquir Ahmed, Mehbooba Mahnoor Chandni, Chitralekha Guho, Rawshan Jamil, Aly Zaker",2001,Drama
1918,Mone Pore Tomake,Montazur Rahman Akbar,"Riza, Riya Sen, A.T.M. Shamsuzzaman, Humayun Faridi, Dildar",2001,"Romance, Drama"
1919,Milon Hobe Koto Dine,Jakir Hossain Raju,"Riaz, Shabnur, Alamgir, Amal Bose",2001,"Romance, Drama"
1920,Chairman,Montazur Rahman Akbar,"Ilias Kanchan, Rituparna Sengupta",2001,Action
1921,Nishwase Tumi Biswase Tumi,Jakir Hossain Raju,"Riaz, Shabnur, Purnima, Bulbul Ahmed",2001,Romance
1922,Mayer Samman,Gazi Jahangir,"Riaz, Purnima, Anwara",2001,Drama
1923,Kothin Bastob,Montazur Rahman Akbar,"Riaz, Keya, Razzak, Amin Khan, Nasrin",2001,Action
1924,Eri Naam Dosti: Ties Never Die,Sayedur Rahman Saeed,"Riaz, Shabnur, Aliraj, Nasir Khan",2001,"Action, Romance, Drama"
1925,Rongbaz Badshah,Montazur Rahman Akbar,"Amit Hasan,",2001,Action
