Movie_ID,Title,Director,Cast,Year,Genre
1917,Ekhono Onek Raat,Khan Ataur Rahman,"Faruq, Ali Raz, Bulbul Ahmed, Bobita, Suchorita, Sharmili Ahmed, Enam Ahmed, Khan Ataur Rahman, Falguni Ahmed, Khan Asif Agun",1997,"War, History, Drama"
1918,Hangor Nodi Grenade - The Mother,Chashi Nazrul Islam,"Sohel Rana, Champa, Suchorita, Aruna Biswas",1997,"War, Drama, History"
1919,Prem Piyashi,Reza Hashmot,"Salman Shah, Shabnur, Anwara, Rajib, Tushar Khan, Misha Sawdagor",1997,Romance
1920,Dukhai,Morshedul Islam,"Raisul Islam Asad, Rokeya Prachi, Abur Khair, Chandni",1997,Drama
1921,Coolie,Chotku Ahmed,"Omar Sani, Popy, Amin Khan, Mizu Ahmed, Dolly Zahur, Humayun Faridi",1997,Action
1923,Shopner Nayok,Nasir Khan,"Salman Shah, Shabnur, Shahin Alam, Sonia, Dolly Zahur, ATM Shamsuzzaman, Nasir Khan",1997,Romance
1924,Shudhu Tumi,Kazi Morshed,"Salman Shah, Shama, Dildar, Dolly Zahur, Humayun Faridi",1997,Romance
1925,Ananda Ashru,Shibly Sadik,"Salman Shah, Shabnur, Kanchi, Dolly Zahur, Khaleda Akter Kolpona, Dildar, Sadek Bacchu, Humayun Faridi",1997,Romance
1926,Buker Bhetor Agun,Chotku Ahmed,"Salman Shah, Shabnur, Ferdous Ahmed, Rajib, Raisul Islam Asad, Syed Hasan Imam",1997,"Action, Romance"
1927,Praner Cheye Priyo,Mohammad Hannan,"Riaz, Raveena, Bulbul Ahmed, Bobita, Rajib, Humayun Faridi, Anwar Hossain, Abul Hayat",1997,"Drama, Romance"
