Movie_ID,Title,Director,Cast,Year,Genre
1917,Lalon,Tanvir Mokammel,"Raisul Islam Asad, Shomi Kaiser, Azad Abul Kalam",2004,"Drama, History"
1918,Khairun Sundari,A.K Shohel,"Ferdous Ahmed, Rachana Banerjee, ATM Shamsuzzaman",2004,Folk Drama
1919,Shankhonad,Abu Sayeed,"Zahid Hasan, KS Firoz, Nazma Anwar, Fazlur Rahman Babu",2004,Drama
1920,Shasti - Punishment,Chashi Nazrul Islam,"Riaz, Purnima, Ilias Kanchan, Champa",2004,Drama
1921,Bachelor - The Circle,Mostofa Sarwar Farooki,"Shabnur, Ferdous, Hasan Masood, Joya Ahsan, Aupee Karim, Marjuk Russel",2004,"Comedy, Drama, Romance"
1922,Wrong Number,Motin Rahman,"Riaz, Abdul Kader, Dolly Johur, Shrabanti, Nasir Rahman, Tushar Khan, Amol Bosh, Tahsina, Taskina",2004,"Drama, World"
1923,Taka,Shahidul Islam Khokon,"Riaz, Purnima, Sohel Rana, Alamgir, Humayun Faridi, Suchorita and Hridoy Islam",2004,"Drama, Mystery"
1924,Manna Bhai,FI Manik,"Manna,",2004,Action
1925,Joy Jatra,Tauquir Ahmed,"Mahfuz Ahmed, Bipasha Hayat, Abul Hayat, Azizul Karim",2004,"Drama, History, War"
