Movie_ID,Title,Director,Cast,Year,Genre
1917,Muktir Gaan - Song of Freedom,Tareque Masud  Catherine Masud,"Tareque Masud, Catherine Masud, Lear Levin",1995,Documentary
1918,Anno Jibon,Sheikh Neyamat Ali,"Raisul Islam Asad, Champa, Abul Khair, Shanta Islam,",1995,Drama
1919,Nodir Naam Modhumoti (The River Named Modhumoti),Tanvir Mokammel,"Aly Zaker, Tauquir Ahmed, Raisul Islam Asad, Afsana Mimi, Abul Khair, Vaswar Banerjee, Jayanta Chatterjee, K.S. Feroze",1995,"War, History, Drama"
1920,Love Story,Kazi Hayat,Rosy Siddiqui,1995,Romance
1921,Den Mohor,Shafi Bikrampuri,"Salman Shah, Moushumi, Rajib, Ahmed Sharif, Nasir Khan, Mirana Zaman",1995,"Romance, Drama"
1922,Konna dan,Delwar Jahan Jhontu,"Salman Shah, Lima, Alamgir, Shabana, Humayun Faridi, Anwar Hossain",1995,Drama
1923,Shopner Thikana,M A Khalek,"Salman Shah, Shabnur, Rajib, Kazi Hayat, Prabir Mitra, Dolly Zahur",1995,Romance
1924,Anjuman,Hafiz Uddin,"Salman Shah, Shabnaz, Dolly Zahur, Ahmed Sharif, Humayun Faridi",1995,Romance
1925,Moha Milon,Dilip Shom,"Salman Shah, Shabnur, Bobita, Rajib, Pijush Bandhopadhyay, Amal Bose",1995,Romance
1926,Banglar Nayok,Dewan Nazrul,"Jashim, Shabana, Riaz, Anwar Hossain, Ahmed Sharif",1995,Action
1927,Asha Bhalobasha,Tomiz Uddin Rizvi,"Salman Shah, Shabnaz, Golam Mostafa, Prabir Mitra, Misha Sawdagor",1995,Romance
