Movie_ID,Title,Year,Genre
2719,The God of Small Things,2017,Drama
2720,Mastan O Police,2017,Action
2721,Rina Brown,2017,"War, Drama"
2722,Valobasha Emoni Hoy,2017,Romance
2723,Premi O Premi,2017,Romance
2724,Bhuban Majhi,2017,War
2725,Meyeti Ekhon Kothay Jabe,2017,Drama
2726,Nuru Miah and His Beauty Driver,2017,Drama
2727,Sultana Bibiana,2017,Romance
2728,Swatta,2017,"Romance, Drama"
2729,Tui Amar,2017,"Romance, Drama"
2730,Dhat Teri Ki,2017,Comedy
2731,Apon Manush,2017,Romance
2732,Porobashinee,2017,Sci-Fi
2733,Nabab,2017,Action
2734,Rajneeti (2017 film),2017,Political thriller
2735,Boss 2: Back to Rule,2017,Action
2736,Voyonkor Sundor,2017,Suspense
2737,Ohongkar,2017,Romance
2738,Drama,2017,Drama
2739,Rangbaaz,2017,Action
2740,Dhaka Attack,2017,"Action, Thriller"
2741,Dulavai Zindabad,2017,"Action, Drama"
2742,Doob: No Bed of Roses,2017,Drama
2743,Bengali Beauty,2017,"Romance, History, Drama"
2744,Noor Jahaan,2017,Romance
2745,Chalbaaz,2017,Thriller
2746,Pashan,2017,Thriller
2747,Detective,2017,Animated
2748,Inspector Notty K,2017,Comedy
2749,Bhalo Theko,2017,Romance
2750,Bizli,2017,Superhero
2751,Mrittupuri: Kill Zone,2017,Action
2752,Ami Neta Hobo,2017,Romance
