Movie_ID,Title,Year,Genre
2719,Matir Pori,2016,"Romance, Action"
2720,Raja 420,2016,Comedy
2721,Bhalobasboi To,2016,Romance
2722,Sweetheart,2016,Romance
2723,Bullet Babu,2016,Action
2724,Bhola To Jay Na Tare,2016,Romance
2725,Utola Mon,2016,Romance
2726,Mon Jaane Na Moner Adhar,2016,Courtroom drama
2727,Purno Doirgho Prem Kahini 2,2016,Sports
2728,Shankhachil,2016,Drama
2729,Musafir,2016,"Action, Thriller"
2730,Ostitto,2016,Romance
2731,Aral,2016,"Action, Thriller"
2732,Mastani,2016,"Action, Thriller"
2733,Bossgiri,2016,"Romance, Thriller"
2734,Rokto,2016,Action
2735,Shooter,2016,"Action, Romance"
2736,Aynabaji,2016,Thriller
2737,Prem Ki Bujhini,2016,"Romance, Thriller"
2738,Ek Rasta,2016,"Action, Thriller"
2739,Lal Sobujer Sur,2016,Historical drama
