Movie_ID,Title,Director,Cast,Year,Genre
1917,Keyamat Theke Keyamat,Sohanur Rahman Sohan,"Salman Shah, Moushumi, Nasir Khan, Amol Bose, Ahmed Sharif, Rajib",1993,Romance
1918,Padma Nadir Majhi,Goutom Ghosh,"Raisul Islam Asad, Champa, Utpal Dutt, Rupa Gangooly, Rabi Ghosh",1993,Drama
1919,Ekattorer Jishu,Nasiruddin Yousuff,"Pijush Bandapadhaya, Humayun Faridi, Abul Khair, Sharmili Florence Gaines, Shahiduzzaman Selim",1993,"Drama, History"
1920,Prem Dewana,Montazur Rahman Akbar,"Manna, Champa, Rajeeb, Humayun Faridi, Shahin Alam",1993,Romance
