Movie_ID,Title,Director,Cast,Year,Genre
2012,Firey Esho Behula,Tanim Noor,"Joya Ahsan, Intekhab Dinar, Humayun Faridi, Mamunur Rashid, Jayanta Chattapaddhay, Raisul Islam Asad, Shahiduzzaman Selim, Tauquir Ahmed, Shatabdi Wadud",2012,Drama
2013,Maruf er Challenge,Shahadat Hossain Liton,"Sahara, Mamnun Hasan Emon, Nipun Akter, Kazi Maruf",2012,Action
2014,Rokte Bheja Bangladesh,Nadim Mahmud,"Shadhin, Ratna, Prabir Mitra, Misha Sawdagor",2012,Drama
2015,I Love You,Mushfiqur Rahman Guljar,"Shakib Khan, Purnima, Resi, Nirab, Ilias Kanchan",2012,Romance
2016,Jibone Tumi Morone Tumi,Apurba Rana,"Jeff, Shreya, Sohel Rana",2012,Romance
2017,Lal Tip,Swapan Ahmed,"Mamnun Hasan Emon, Kusum Sikder, Benjamin Dupich, ATM Shamsuzzaman, Ana Levis, Sohel Khan",2012,"Romance, Drama"
2018,Ek Jonomer Koster Prem,Nadim Mahmud,"Saif Khan, Nodi, Swapna, Shoyeb Khan",2012,"Action, Romance"
2019,Amar Challenge,Badiul Alam Khokon,"Shakib Khan, Sahara, Misha Sawdagor",2012,"Action, Romance"
2020,Raja Surjo Kha,Gazi Mahbub,"Kazi Maruf, Purnima, Sohel Rana, Bobita, Kabori, Nirab",2012,Drama
2021,Palabar Path Nei,Apurba Rana,"Saif Khan, Toma Mirza, Aman, Kazi Hayat",2012,Action
2022,Bangladeshi,Monowar Khokon,"Jahangir Jhinuk, Enamul Mozammel, Ahmed Sharif",2012,Action
2023,Ek Takar Denmohor,M B Manik,"Shakib Khan, Apu Biswas, Sohel Rana, Suchorita",2012,Romance
2024,Karigor,Anwar Shahadat,"Jayanta Chattapaddhay, Rokeya Prachi, Rani Sarkar, Masud Alam Babu",2012,Drama
2025,Manik Ratan Dui Bhai,Kazi Hayat,"Kazi Maruf, Dipjol, Resi, Toma Mirza",2012,"Comedy, Romance"
2026,Ji Hujur,Zakir Hossain Raju,"Symon Sadik, Sara Zerin, Anan",2012,"Comedy, Romance"
2027,Ek Mon Ek Pran,Sohanur Rahman Sohan,"Shakib Khan, Toma Mirza, Apu Biswas",2012,Romance
2028,Antore Premer Jala,Kalam Kaisar,"Sajid Khan, Shehnai",2012,Romance
2029,Bazarer Kuli,Montazur Rahman Akbar,"Resi, Nipun Akter, Aman, Anna,Misha Sawdagor, Dipjol",2012,Action
2030,Charulata,Saiful Islam Mannu,"Ilias Kanchan, Kumkum Hasan, Shajal, Mita Noor",2012,
2031,The Speed,Sohanur Rahman Sohan,"Ananta Jalil, Parveen, Nana, Dighi, Parveen Sultana Diti, Alamgir, Nino",2012,"Action, Romance"
2032,Uttarer Sur,Shahnewaz Kakoli,"Utpal, Lucy, Meghla",2012,Drama
2034,Attogopon,M M Sarkar,"Zayed Khan, Shabnur",2012,Romance
2039,Common Gender,Noman Rabin,"Sohel Khan, Hasan Masood, Reza Siddqui, Rashed Mamun, Rosy Siddiqui",2012,Drama
2040,Most Welcome,Anonno Mamun,"Ananta Jalil, Barsha, Sneha Ullal, Razzak, Bapparaj",2012,"Action, Romance"
2042,My Name Is Sultan,F I Manik,"Shakib Khan, Sahara, Prabir Mitra, Rina Khan",2012,"Action, Romance"
2043,Dhakar King,Shafi Uddin Shafi,"Shakib Khan, Nipun Akter, Apu Biswas",2012,Action
2044,Se Amar Mon Kereche,Sohanur Rahman Sohan,"Shakib Khan, Tinni, Almgir, Misha Sawdagor",2012,Romance
2045,Tumi Ashbe Bole,Ashraful Rahman,"Nirab Hossain, Nipun Akter",2012,Romance
2046,Hothat Sedin,Basu Chatterjee,"Ferdous Ahmed, Ridhima Ghosh, Nipun",2012,Romance
2048,Ghetuputra Kamola,Humayun Ahmed,"Mamun, Tariq Anam Khan, Agun, Jayanta Chattopadhyay, Munmun Ahmed",2012,Drama
2050,Bhalobashar Rong,Shahin Sumon,"Mahiya Mahi, Bappy Chowdhury, Razzak, Amit Hasan",2012,Romance
2053,Don Number One,Badiul Alam Khokon,"Shakib Khan, Sahara, Misha Sawdagor",2012,"Action, Romance"
2061,Chorabali,Redoan Rony,"Joya Ahsan, Indraneil Sengupta, Sohel Rana, ATM Shamsuzzaman, Shahiduzzaman Selim",2012,"Crime, Thriller"
2062,Pita - The Father,Masud Akhand,"Jayanta Chattapaddhay, Shaina Amin, Kallyan, Masud Akhand Maria Farih upama, moin duurrani, Armand Ara Bokul",2012,"War, Drama"
