Movie_ID,Title,Director,Cast,Year,Genre
2070,Time Machine,Symon Jahan,"Ratna, Sourav Sidak, Irene, Modhumoni, Yamin",2014,Fantasy
2071,Ant Story,Mostofa Sarwar Farooki,"Sheena Chohan, Nur Imran Mithu",2014,"Comedy, Drama"
2072,Jane Na E Mon,M A Rahim,"Mamnun Hasan Emon, Jaanvi",2014,"Romance, Action"
2073,My Name is Simi,Montazur Rahman Akbar,"Simi Akter Koli, Zayed Khan, Misha Sawdagor",2014,Action
2074,Horijon,Mirza Shakhwat Hossain,"Rokeya Prachi, Jayanta Chattopadhyay, Mamunur Rashid, Arjumand Ara Bokul",2014,Drama
2075,Onek Sadher Moyna,Jakir Hossain Raju,"Mahiya Mahi, Bappy Chowdhury, Anisur Rahman Milon",2014,"Romance, Drama"
2076,Onek Shadhonar Pore,Abul Kalam Azad,"Nijhum Rubina, Shanto, Prabir Mitra",2014,"Romance, Action"
2077,Shopno Je Tui,Monirul Islam Shohel,"Mamnun Hasan Emon, Achol, Kazi Hayat",2014,Romance
2078,Shorbonasha Ya ba,Kazi Hayat,"Kazi Maruf, Prosun Azad, Kazi Hayat",2014,"Action, Drama"
2079,Char Okkhore Bhalobasha,Jakir Khan,"Ferdous Ahmed, Popy, Nirab Hossain",2014,Romance
2080,Ek Cup Cha,Naeem Imtiaz Neamul,"Mousumi, Ferdous, Rituparna Sengupta, Alamgir,Humayun Faridi, Abdur Razzak",2014,Romance
2081,Prem Korbo Tomar Sathe,Raqibul Alam,"Zayed Khan, Zakia Bari Momo, Anisur Rahman Milon",2014,Romance
2082,Meghmallar,Zahidur Rahim Anjan,"Shahiduzzaman Selim, Aparna Ghose, Jayanto Chattopadhyay",2014,"Drama, War"
2083,Shopno Chhoya,Shafiq Hasan,"Symon Sadik, Bobby",2014,Romance
2085,Ekattorer Khudiram,Mannan Hira,"Mamunur Rashid, Fazlur Rahman Babu, Momena Chowdhury",2014,Drama
2086,Zero Theke Top Hero,Shaheen Sumon,"Jeff, Itisha, Sumit",2014,Action
2087,Ekattorer Maa Jononi,Shah Alam Kiran,"Nipun Akter, Agun, Gulshan Ara",2014,"War, Drama"
2088,Khoniker Bhalobasha,Abul Kashem Mondol,"Shireen Shila, Joy Chowdhury",2014,Romance
2089,Desha: The Leader,Saikat Nasir,"Shipan Mitra, Mahiya Mahi, Tariq Anam Khan",2014,"Political, Thriller"
