Movie_ID,Title,Director,Cast,Year,Genre
1917,Agun Amar Naam,Swapon Chowdhury,"Masum Parvez Rubel, Poly, Misha Showdagor,  Shahidul Islam Shacchu",2005,Action
1918,Banglar Bagh,Ahmed Nasir,"Masum Parvez Rubel, Poly, Rehana Joly   Misha Showdagor",2005,Action
1919,Hajar Bachhor Dhore,Kohinur Akter Suchanda,"Riaz, Shashi, Shahnoor, Shuchonda  ATM Shamsuzzaman",2005,Drama
1920,Amar Shopno Tumi,Hasibul Islam Mizan,"Shakib Khan, Shabnur, Ferdous, Abul Hayat, A.T.M. Shamsuzzaman",2005,Romace
1921,City Terror,M A Rahim,"Manna, Popy, Shakib Khan",2005,Action
1922,Kal Sokale,Amzad Hossain,"Shabnur, Ferdous Ahmed, Apu Biswas  Parveen Sultana Diti",2005,Drama
1923,Molla Barir Bou,Salauddin Lavlu,"Riaz, Shabnur, Moushumi,  ATM Shamsuzzaman, Khairul Alam Sabuj",2005,"Comedy, Drama"
1924,Momtaz,Uttam Akash,"Momtaz Begum, Humayun Faridi,  Helal Khan, Anwara, Prabir Mitra",2005,Drama
1925,Taka: The Ultimate Magic,Shahidul Islam Khokon,"Riaz, Purnima, Sohel Rana, Humayun Faridi",2005,Action
1926,Shyamol Chhaya,Humayun Ahmed,"Humayun Faridi, Riaz, Meher Afroz Shaon",2005,"Drama, War, History"
1927,Bishakto Chokh: The Blue Eye,Masum Parvez Rubel,"Riaz, Shahara, Rubel",2005,Action
1928,Chotto Ektu Bhalobasha,G. Sarker,"Riaz, Purnima",2005,Romance
1929,Bhalobasha Bhalobasha,Mohammad Hannan,"Riaz, Shabnur",2005,Romance
1930,Dhakaiya Pola Barishaler Maiya,Uttam Akash,"Shakib Khan, Shabnur, Humayun Faridi",2005,"Romance, Comedy"
1931,Somadhi,Shahin Sumon,"Shakib Khan, Shabnur, Amin Khan,  Jillur Rahman, Anwara",2005,Romance
1932,Bhalobashar Dushmon' ,Wakil Ahmed,"Shakib Khan, Shabnur",2005,Romance
1933,Ek Buk Jala,Shahin Sumon,"Shakib Khan, Suveccha",2005,Romance
