Movie_ID,Title,Director,Cast,Year,Genre
1917,Abortan,Abu Sayeed,"Abul Hayat, Laki Inam",1988,Drama
1918,Dui Jibon,Abdullah Al Mamun,"Afzal, Diti",1988,Romance
1919,Jogajog,Moinul Hossain,"Razzak, Shabnam, Ilias Kanchan, Champa",1988,"Drama,Family"
1920,Bheja Chokh,Shibly Sadiq,"Ilias Kanchan, Champa",1988,"Drama,Roamnce"
1921,Pothe Holo Dekha,Hafiz Uddin,"Bobita, Alamgir",1988,Romance
1924,Hiramoti,Amzad Hossain,"Diti, Sohel Chowdhury",1988,"Drama,Romance"
1925,Stri,Ikram Bizu,Shabana,1988,"Family,Drama"
1926,Agomon,Subhash Dutta,"Razzak, Bobita",1988,Drama
1927,Jibon Dhara,Motin Rahman,"Rozina, Wasim",1988,Romance
1928,Jantrana,Kazi Hayat,Anju,1988,Drama
