Movie_ID,Title,Director,Cast,Year,Genre
83768183,Ma er Gaaye Biyer Sharee,A K Sohel,"Jidan, Shimla, Dighi, Ahmed Sharif ",2011,Drama
83768184,Adorer Jamai,Shahadat Hossain Liton,"Shakib Khan, Apu Biswas, Nipun Akter",2011,"Action, Comedy"
83768145,Firey Esho Behula,Tanim Noor,"Joya Ahsan, Intekhab Dinar, Humayun Faridi, Mamunur Rashid, Jayanta Chattapaddhay, Raisul Islam Asad, Shahiduzzaman Selim, Tauquir Ahmed, Shatabdi Wadud",2012,Drama
83768146,Maruf er Challenge,Shahadat Hossain Liton,"Sahara, Mamnun Hasan Emon, Nipun Akter, Kazi Maruf",2012,Action
83768147,Rokte Bheja Bangladesh,Nadim Mahmud,"Shadhin, Ratna, Prabir Mitra, Misha Sawdagor",2012,Drama
83768148,I Love You,Mushfiqur Rahman Guljar,"Shakib Khan, Purnima, Resi, Nirab, Ilias Kanchan",2012,Romance
83768149,Jibone Tumi Morone Tumi,Apurba Rana,"Jeff, Shreya, Sohel Rana",2012,Romance
83768150,Lal Tip,Swapan Ahmed,"Mamnun Hasan Emon, Kusum Sikder, Benjamin Dupich, ATM Shamsuzzaman, Ana Levis, Sohel Khan",2012,"Romance, Drama"
83768151,Ek Jonomer Koster Prem,Nadim Mahmud,"Saif Khan, Nodi, Swapna, Shoyeb Khan",2012,"Action, Romance"
83768152,Amar Challenge,Badiul Alam Khokon,"Shakib Khan, Sahara, Misha Sawdagor",2012,"Action, Romance"
83768153,Raja Surjo Kha,Gazi Mahbub,"Kazi Maruf, Purnima, Sohel Rana, Bobita, Kabori, Nirab",2012,Drama
83768154,Palabar Path Nei,Apurba Rana,"Saif Khan, Toma Mirza, Aman, Kazi Hayat",2012,Action
83768155,Bangladeshi,Monowar Khokon,"Jahangir Jhinuk, Enamul Mozammel, Ahmed Sharif",2012,Action
83768156,Ek Takar Denmohor,M B Manik,"Shakib Khan, Apu Biswas, Sohel Rana, Suchorita",2012,Romance
83768157,Karigor,Anwar Shahadat,"Jayanta Chattapaddhay, Rokeya Prachi, Rani Sarkar, Masud Alam Babu",2012,Drama
83768158,Manik Ratan Dui Bhai,Kazi Hayat,"Kazi Maruf, Dipjol, Resi, Toma Mirza",2012,"Comedy, Romance"
83768159,Ji Hujur,Zakir Hossain Raju,"Symon Sadik, Sara Zerin, Anan",2012,"Comedy, Romance"
83768160,Ek Mon Ek Pran,Sohanur Rahman Sohan,"Shakib Khan, Toma Mirza, Apu Biswas",2012,Romance
83768161,Antore Premer Jala,Kalam Kaisar,"Sajid Khan, Shehnai",2012,Romance
83768162,Bazarer Kuli,Montazur Rahman Akbar,"Resi, Nipun Akter, Aman, Anna,Misha Sawdagor, Dipjol",2012,Action
83768163,Charulata,Saiful Islam Mannu,"Ilias Kanchan, Kumkum Hasan, Shajal, Mita Noor",2012,
83768164,The Speed,Sohanur Rahman Sohan,"Ananta Jalil, Parveen, Nana, Dighi, Parveen Sultana Diti, Alamgir, Nino",2012,"Action, Romance"
83768165,Uttarer Sur,Shahnewaz Kakoli,"Utpal, Lucy, Meghla",2012,Drama
83768166,Attogopon,M M Sarkar,"Zayed Khan, Shabnur",2012,Romance
