Movie_ID,Title,Director,Cast,Year,Genre
2013,Bhalobasar Bandhan,M B Reza,"Aman, Anna, Shajid, Tithi",2013,Romance
2014,Television,Mostofa Sarwar Farooki,"Shahir Huda Rumi, Chanchal Chowdhury, Mosharraf Karim, Nusrat Imrose Tisha",2013,Drama
2015,Jor Kore Bhalobasha Hoyna,Shahadat Hossain Liton,"Shakib Khan, Sahara, Mukti, Misha Sawdagor",2013,Romance
2016,Devdas,Chashi Nazrul Islam,"Shakib Khan, Apu Biswas, Moushumi, Shahiduzzaman Selim, Ahmed Sharif",2013,"Drama, Romance"
2017,Onnorokom Bhalobasha,Shahin Sumon,"Bappy Chowdhury, Mahiya Mahi, Amit Hasan, Sara Jerin",2013,Romance
2018,Antordhan,Syed Wahiduzzaman Diamond,"Ferdous Ahmed, Nipun Akter",2013,Drama
2019,Jibon Nodir Tire,Monir Hossain Mithu,"Nirab Hossain, Anan",2013,Romance
2020,Pagol Tor Jonno Re,Mayeen Biswas,"Irfan Khan, Tamanna, Omar Sani",2013,Romance
2021,Simanaheen,"Kevin Dalvi, Ria Mahtab","Rahsaan Islam, Ismat Alamgir",2013,Romance
2022,Attoghatok,Palash Parvez,"Shoyeb Khan, Rafid Khan, Keya",2013,Action
2023,Shiri Forhad,Gazi Mahbub,"Riaz, Shabnur",2013,"Romance, Drama"
2024,Hridoye 71,Sadeq Siddiqui,"Mamnun Hasan Emon, Romana, Shahidul Islam Shacchu",2013,Drama
2025,Kosto Amar Duniya,Satya Ranjan Romance,"Ratna, Siraj Haidar, Apon Chowdhury, Kazi Hayat",2013,"Action, Romance"
2026,Sei Tumi Anamika,Sarwar Hossain,"Shoyeb Khan, Rashed Khan, Shahrin, Mehrun",2013,Romance
2027,Dehorokkhi: The Bodyguard,Iftakar Chowdhury,"Anisur Rahman Milon, Bobby, Kazi Maruf",2013,Action
2028,Shikhandi Kotha,Mohammad Hannan,"Mohammad Hannan,  Rokeya Prachi, Jayanta Chattapaddhay",2013,Drama
2029,Matir Pinjira,S M Shahnewaz Shanu,"Shahed Chowdhury, Raisul Islam Asad, Shampa, Pijush Bandhapaddhay,",2013,"Drama, Romance"
2030,Judge Barrister Police Commissioner,F.I Manik,"Shakib Khan, Purnima, Razzak",2013,"Action, Drama, Romance"
2031,Jotil Prem,Shaheen Sumon,"Bappy Chowdhury, Achol, Ilias Kanchan, Champa, Misha Sawdagor",2013,Romance
2032,Eito Bhalobasha,Shahin Kabir Tutul,"Mamnun Hasan Emon, Nirob, Nipun Akter, Siddiqur Rahman",2013,"Comedy, Romance"
2033,Nishpap Munna,Badiul Alam Khokon,"Shakib Khan, Sahara, Misha Sawdagor, Bapparaz",2013,"Action, Romance"
2034,Romeo 2013,Raju Chowdhury,"Bappy Chowdhury, Sara Jerin",2013,Romance
2035,PoraMon,Jakir Hossain Raju,"Symon Sadik, Mahiya Mahi, Ali Raz, Anisur Rahman Milon, Misha Sawdagor",2013,Romance
2036,Prem Prem Paglaami,Shafi Uddin Shafi,"Bappy Chowdhury, Achol, Amit Hasan, Kazi Hayat",2013,Romance
2037,Tomar Majhe Ami,Shafiqul Islam Sohel,"Nirab, Toma Mirza, Sadeq Bacchu",2013,Romance
2038,Kajoler Din Ratri,Sajal Khaled,"Tarin, Iresh Zaker",2013,Drama
2039,Nishwartha Bhalobasa,Ananta Jalil,"Ananta Jalil, Afiea Nusrat Barsha, Razzak, Misha Sawdagor",2013,"Romance, Action"
2040,My Name Is Khan,Badiul Alam Khokon,"Shakib Khan, Apu Biswas, Prabir Mitra, Misha Sawdagor",2013,"Action, Romance"
